ID,PDB_file,image,Fasta,Uniprot_id
SEQSTR1,,,,P00441
SEQSTR2,,,,P00441
SEQSTR3,,,,P00441
SEQSTR4,,,,P00441
SEQSTR5,,,,P00441
SEQSTR6,,,,P00441
SEQSTR7,,,,P00441
SEQSTR8,,,,P00441
SEQSTR9,,,,P00441
SEQSTR10,,,,P00441
SEQSTR11,,,,P00441
SEQSTR12,,,,P00441
SEQSTR13,,,,P00441
SEQSTR14,,,,P00441
SEQSTR15,,,,P00441
SEQSTR16,,,,P00441
SEQSTR17,,,,P00441
SEQSTR18,,,,P00441
SEQSTR19,,,,P00441
SEQSTR20,,,,P00441
SEQSTR21,,,,P00441
SEQSTR22,,,,P00441
SEQSTR23,,,,P00441
SEQSTR24,,,,P00441
SEQSTR25,,,,P00441
SEQSTR26,,,,P00441
SEQSTR27,,,,P00441
SEQSTR28,,,,P00441
SEQSTR29,,,,P00441
SEQSTR30,,,,P00441
SEQSTR31,,,,P00441
SEQSTR32,,,,P00441
SEQSTR33,,,,P00441
SEQSTR34,,,,P00441
SEQSTR35,,,,P00441
SEQSTR36,,,,P00441
SEQSTR37,,,,P00441
SEQSTR38,,,,P00441
SEQSTR39,,,,P00441
SEQSTR40,,,,P00441
SEQSTR41,,,,P00441
SEQSTR42,,,,P00441
SEQSTR43,,,,P00441
SEQSTR44,,,,P00441
SEQSTR45,,,,P00441
SEQSTR46,,,,P00441
SEQSTR47,,,,P00441
SEQSTR48,,,,P00441
SEQSTR49,,,,P00441
SEQSTR50,,,,P00441
SEQSTR51,,,,P00441
SEQSTR52,,,,P00441
SEQSTR53,,,,P00441
SEQSTR54,,,,P00441
SEQSTR55,,,,P00441
SEQSTR56,,,,P00441
SEQSTR57,,,,P00441
SEQSTR58,,,,P00441
SEQSTR59,,,,P00441
SEQSTR60,,,,P00441
SEQSTR61,,,,P00441
SEQSTR62,,,,P00441
SEQSTR63,,,,P00441
SEQSTR64,,,,P00441
SEQSTR65,,,,P00441
SEQSTR66,,,,P00441
SEQSTR67,,,,P00441
SEQSTR68,,,,P00441
SEQSTR69,,,,P00441
SEQSTR70,,,,P00441
SEQSTR71,,,,P00441
SEQSTR72,,,,P00441
SEQSTR73,,,,P00441
SEQSTR74,,,,P00441
SEQSTR75,,,,P00441
SEQSTR76,,,,P00441
SEQSTR77,,,,P00441
SEQSTR78,,,,P00441
SEQSTR79,,,,P00441
SEQSTR80,,,,P00441
SEQSTR81,,,,P00441
SEQSTR82,,,,P00441
SEQSTR83,,,,P00441
SEQSTR84,,,,P00441
SEQSTR85,,,,P00441
SEQSTR86,,,,P00441
SEQSTR87,,,,P00441
SEQSTR88,,,,P00441
SEQSTR89,,,,P00441
SEQSTR90,,,,P00441
SEQSTR91,,,,P00441
SEQSTR92,,,,P00441
SEQSTR93,,,,P00441
SEQSTR94,,,,P00441
SEQSTR95,,,,P00441
SEQSTR96,,,,P00441
SEQSTR97,,,,P00441
SEQSTR98,,,,P00441
SEQSTR99,,,,P00441
SEQSTR100,,,,P00441
SEQSTR101,,,,P00441
SEQSTR102,,,,P00441
SEQSTR103,,,,P00441
SEQSTR104,,,,P00441
SEQSTR105,,,,P00441
SEQSTR106,,,,P00441
SEQSTR107,,,,P00441
SEQSTR108,,,,P00441
SEQSTR109,,,,P00441
SEQSTR110,,,,P00441
SEQSTR111,,,,P00441
SEQSTR112,,,,P00441
SEQSTR113,,,,P00441
SEQSTR114,,,,P00441
SEQSTR115,,,,P00441
SEQSTR116,,,,P00441
SEQSTR117,,,,P00441
SEQSTR118,,,,P00441
SEQSTR119,,,,P00441
SEQSTR120,,,,P00441
SEQSTR121,,,,P00441
SEQSTR122,,,,P00441
SEQSTR123,,,,P00441
SEQSTR124,,,,P00441
SEQSTR125,,,,P00441
SEQSTR126,,,,P00441
SEQSTR127,,,,P00441
SEQSTR128,,,,P00441
SEQSTR129,,,,P00441
SEQSTR130,,,,P00441
SEQSTR131,,,,P00441
SEQSTR132,,,,P00441
SEQSTR133,,,,P00441
SEQSTR134,,,,P00441
SEQSTR135,,,,P00441
SEQSTR136,,,,P00441
SEQSTR137,,,,P00441
SEQSTR138,,,,P00441
SEQSTR139,,,,P00441
SEQSTR140,,,,P00441
SEQSTR141,,,,P00441
SEQSTR142,,,,P00441
SEQSTR143,,,,P00441
SEQSTR144,,,,P00441
SEQSTR145,,,,P00441
SEQSTR146,,,,P00441
SEQSTR147,,,,P00441
SEQSTR148,,,,P00441
SEQSTR149,,,,P00441
SEQSTR150,,,,P00441
SEQSTR151,,,,P00441
SEQSTR152,,,,P00441
SEQSTR153,,,,P00441
SEQSTR154,,,,P00441
SEQSTR155,,,,P00441
SEQSTR156,,,,P00441
SEQSTR157,,,,P00441
SEQSTR158,,,,P00441
SEQSTR159,,,,P00441
SEQSTR160,,,,P00441
SEQSTR161,,,,P00441
SEQSTR162,,,,P00441
SEQSTR163,,,,P00441
SEQSTR164,,,,P00441
SEQSTR165,,,,P00441
SEQSTR166,,,,P00441
SEQSTR167,,,,P00441
SEQSTR168,,,,P00441
SEQSTR169,,,,P00441
SEQSTR170,,,,P00441
SEQSTR171,,,,P00441
SEQSTR172,,,,P00441
SEQSTR173,,,,P00441
SEQSTR174,,,,P00441
SEQSTR175,,,,P00441
SEQSTR176,,,,P00441
SEQSTR177,,,,P00441
SEQSTR178,,,,P00441
SEQSTR179,,,,P00441
SEQSTR180,,,,P00441
SEQSTR181,,,,P00441
SEQSTR182,,,,P00441
SEQSTR183,,,,P00441
SEQSTR184,,,,P00441
SEQSTR185,,,,P00441
SEQSTR186,,,,P00441
SEQSTR187,,,,P00441
SEQSTR188,,,,P00441
SEQSTR189,,,,P00441
SEQSTR190,,,,P00441
SEQSTR191,,,,P00441
SEQSTR192,,,,P00441
SEQSTR193,,,,P00441
SEQSTR194,,,,P00441
SEQSTR195,,,,P00441
SEQSTR196,,,,P00441
SEQSTR197,,,,P00441
SEQSTR198,,,,P00441
SEQSTR199,,,,P00441
SEQSTR200,,,,P00441
SEQSTR201,,,,P00441
SEQSTR202,,,,P00441
SEQSTR203,,,,P00441
SEQSTR204,,,,P00441
SEQSTR205,,,,P00441
SEQSTR206,,,,P00441
SEQSTR207,,,,P00441
SEQSTR208,,,,P00441
SEQSTR209,,,,P00441
SEQSTR210,,,,P00441
SEQSTR211,,,,P00441
SEQSTR212,,,,P00441
SEQSTR213,,,,P00441
SEQSTR214,,,,P00441
SEQSTR215,,,,P00441
SEQSTR216,,,,P00441
SEQSTR217,,,,P00441
SEQSTR218,,,,P00441
SEQSTR219,,,,P00441
SEQSTR220,,,,P00441
SEQSTR221,,,,P00441
SEQSTR222,,,,P00441
SEQSTR223,,,,P00441
SEQSTR224,,,,P00441
SEQSTR225,,,,P00441
SEQSTR226,,,,P00441
SEQSTR227,,,,P00441
SEQSTR228,,,,P00441
SEQSTR229,,,,P00441
SEQSTR230,,,,P00441
SEQSTR231,,,,P00441
SEQSTR232,,,,P00441
SEQSTR233,,,,P00441
SEQSTR234,,,,P00441
SEQSTR235,,,,P00441
SEQSTR236,,,,P00441
SEQSTR237,,,,P00441
SEQSTR238,,,,P00441
SEQSTR239,,,,P00441
SEQSTR240,,,,P00441
SEQSTR241,,,,P00441
SEQSTR242,,,,P00441
SEQSTR243,,,,P00441
SEQSTR244,,,,P00441
SEQSTR245,,,,P00441
SEQSTR246,,,,P00441
SEQSTR247,,,,P00441
SEQSTR248,,,,P00441
SEQSTR249,,,,P00441
SEQSTR250,,,,P00441
SEQSTR251,,,,P00441
SEQSTR252,,,,P00441
SEQSTR253,,,,P00441
SEQSTR254,,,,P00441
SEQSTR255,,,,P00441
SEQSTR256,,,,P00441
SEQSTR257,,,,P00441
SEQSTR258,,,,P00441
SEQSTR259,,,,P00441
SEQSTR260,,,,P00441
SEQSTR261,,,,P00441
SEQSTR262,,,,P00441
SEQSTR263,,,,P00441
SEQSTR264,,,,P00441
SEQSTR265,,,,P00441
SEQSTR266,,,,P00441
SEQSTR267,,,,P00441
SEQSTR268,,,,P00441
SEQSTR269,,,,P00441
SEQSTR270,,,,P00441
SEQSTR271,,,,P00441
SEQSTR272,,,,P00441
SEQSTR273,,,,P00441
SEQSTR274,,,,P00441
SEQSTR275,,,,P00441
SEQSTR276,,,,P00441
SEQSTR277,,,,P00441
SEQSTR278,,,,P00441
SEQSTR279,,,,P00441
SEQSTR280,,,,P00441
SEQSTR281,,,,P00441
SEQSTR282,,,,P00441
SEQSTR283,,,,P00441
SEQSTR284,,,,P00441
SEQSTR285,,,,P00441
SEQSTR286,,,,P00441
SEQSTR287,,,,P00441
SEQSTR288,,,,P00441
SEQSTR289,,,,P00441
SEQSTR290,,,,P00441
SEQSTR291,,,,P00441
SEQSTR292,,,,P00441
SEQSTR293,,,,P00441
SEQSTR294,,,,P00441
SEQSTR295,,,,P00441
SEQSTR296,,,,P00441
SEQSTR297,,,,P00441
SEQSTR298,,,,P00441
SEQSTR299,,,,P00441
SEQSTR300,,,,P00441
SEQSTR301,,,,P00441
SEQSTR302,,,,P00441
SEQSTR303,,,,P00441
SEQSTR304,,,,P00441
SEQSTR305,,,,P00441
SEQSTR306,,,,P00441
SEQSTR307,,,,P00441
SEQSTR308,,,,P00441
SEQSTR309,,,,P00441
SEQSTR310,,,,P00441
SEQSTR311,,,,P00441
SEQSTR312,,,,P00441
SEQSTR313,,,,P00441
SEQSTR314,,,,P00441
SEQSTR315,,,,P00441
SEQSTR316,,,,P00441
SEQSTR317,,,,P00441
SEQSTR318,,,,P00441
SEQSTR319,,,,P00441
SEQSTR320,,,,P00441
SEQSTR321,,,,P00441
SEQSTR322,,,,P00441
SEQSTR323,,,,P00441
SEQSTR324,,,,P00441
SEQSTR325,,,,P00441
SEQSTR326,,,,P00441
SEQSTR327,,,,P00441
SEQSTR328,,,,P00441
SEQSTR329,,,,P00441
SEQSTR330,,,,P00441
SEQSTR331,,,,P00441
SEQSTR332,,,,P00441
SEQSTR333,,,,P00441
SEQSTR334,,,,P00441
SEQSTR335,,,,P00441
SEQSTR336,,,,P00441
SEQSTR337,,,,P00441
SEQSTR338,,,,P00441
SEQSTR339,,,,P00441
SEQSTR340,,,,P00441
SEQSTR341,,,,P00441
SEQSTR342,,,,P00441
SEQSTR343,,,,P00441
SEQSTR344,,,,P00441
SEQSTR345,,,,P00441
SEQSTR346,,,,P00441
SEQSTR347,,,,P00441
SEQSTR348,,,,P00441
SEQSTR349,,,,P00441
SEQSTR350,,,,P00441
SEQSTR351,,,,P00441
SEQSTR352,,,,P00441
SEQSTR353,,,,P00441
SEQSTR354,,,,P00441
SEQSTR355,,,,P00441
SEQSTR356,,,,P00441
SEQSTR357,,,,P00441
SEQSTR358,,,,P00441
SEQSTR359,,,,P00441
SEQSTR360,,,,P00441
SEQSTR361,,,,P00441
SEQSTR362,,,,P00441
SEQSTR363,,,,P00441
SEQSTR364,,,,P00441
SEQSTR365,,,,P00441
SEQSTR366,,,,P00441
SEQSTR367,,,,P00441
SEQSTR368,,,,P00441
SEQSTR369,,,,P00441
SEQSTR370,,,,P00441
SEQSTR371,,,,P00441
SEQSTR372,,,,P00441
SEQSTR373,,,,P00441
SEQSTR374,,,,P00441
SEQSTR375,,,,P00441
SEQSTR376,,,,P00441
SEQSTR377,,,,P00441
SEQSTR378,,,,P00441
SEQSTR379,,,,P00441
SEQSTR380,,,,P00441
SEQSTR381,,,,P00441
SEQSTR382,,,,P00441
SEQSTR383,,,,P00441
SEQSTR384,,,,P00441
SEQSTR385,,,,P00441
SEQSTR386,,,,P00441
SEQSTR387,,,,P00441
SEQSTR388,,,,P00441
SEQSTR389,,,,P00441
SEQSTR390,,,,P00441
SEQSTR391,,,,P00441
SEQSTR392,,,,P00441
SEQSTR393,,,,P00441
SEQSTR394,,,,P00441
SEQSTR395,,,,P00441
SEQSTR396,,,,P00441
SEQSTR397,,,,P00441
SEQSTR398,,,,P00441
SEQSTR399,,,,P00441
SEQSTR400,,,,P00441
SEQSTR401,,,,P00441
SEQSTR402,,,,P00441
SEQSTR403,,,,P00441
SEQSTR404,,,,P00441
SEQSTR405,,,,P00441
SEQSTR406,,,,P00441
SEQSTR407,,,,P00441
SEQSTR408,,,,P00441
SEQSTR409,,,,P00441
SEQSTR410,,,,P00441
SEQSTR411,,,,P00441
SEQSTR412,,,,P00441
SEQSTR413,,,,P00441
SEQSTR414,,,,P00441
SEQSTR415,,,,P00441
SEQSTR416,,,,P00441
SEQSTR417,,,,P00441
SEQSTR418,,,,P00441
SEQSTR419,,,,P00441
SEQSTR420,,,,P00441
SEQSTR421,,,,P00441
SEQSTR422,,,,P00441
SEQSTR423,,,,P00441
SEQSTR424,,,,P00441
SEQSTR425,,,,P00441
SEQSTR426,,,,P00441
SEQSTR427,,,,P00441
SEQSTR428,,,,P00441
SEQSTR429,,,,P00441
SEQSTR430,,,,P00441
SEQSTR431,,,,P00441
SEQSTR432,,,,P00441
SEQSTR433,,,,P00441
SEQSTR434,,,,P00441
SEQSTR435,,,,P00441
SEQSTR436,,,,P00441
SEQSTR437,,,,P00441
SEQSTR438,,,,P00441
SEQSTR439,,,,P00441
SEQSTR440,,,,P00441
SEQSTR441,,,,P00441
SEQSTR442,,,,P00441
SEQSTR443,,,,P00441
SEQSTR444,,,,P00441
SEQSTR445,,,,P00441
SEQSTR446,,,,P00441
SEQSTR447,,,,P00441
SEQSTR448,,,,P00441
SEQSTR449,,,,P00441
SEQSTR450,,,,P00441
SEQSTR451,,,,P00441
SEQSTR452,,,,P00441
SEQSTR453,,,,P00441
SEQSTR454,,,,P00441
SEQSTR455,,,,P00441
SEQSTR456,,,,P00441